Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ben McLemore,2021,SG,27,HOU,32,4,16.8,2.5,7,0.357,1.7,5.2,0.331,0.8,1.8,0.431,0.48,0.7,1,0.719,0.3,1.7,2.1,0.9,0.6,0.1,0.9,1.6,7.4
Ben McLemore,2021,SG,27,LAL,21,1,17.5,2.6,6.7,0.39,2,5.4,0.368,0.6,1.3,0.481,0.539,0.8,1,0.762,0.2,1.4,1.6,0.5,0.1,0.3,0.7,1.8,8
Nicolò Melli,2021,PF,30,TOT,45,4,12.6,1,3.1,0.326,0.5,1.9,0.271,0.5,1.2,0.411,0.408,0.4,0.6,0.76,0.6,2.1,2.7,1,0.3,0.1,0.3,1.3,3
Nicolò Melli,2021,PF,30,NOP,22,0,11,0.7,2.7,0.254,0.3,1.7,0.189,0.4,1,0.364,0.314,0.3,0.3,0.857,0.5,2,2.6,1.1,0.4,0,0.3,1.3,2
Nicolò Melli,2021,PF,30,DAL,23,4,14.1,1.3,3.6,0.378,0.7,2.1,0.333,0.7,1.5,0.441,0.476,0.6,0.8,0.722,0.7,2.1,2.8,0.8,0.2,0.1,0.2,1.3,4
De'Anthony Melton,2021,PG,22,MEM,52,1,20.1,3.3,7.6,0.438,1.7,4.1,0.412,1.6,3.5,0.467,0.548,0.8,1,0.804,0.6,2.5,3.1,2.5,1.2,0.6,1.3,1.6,9.1
Sam Merrill,2021,SG,24,MIL,30,2,7.8,1.1,2.4,0.444,0.7,1.6,0.447,0.4,0.8,0.44,0.59,0.1,0.1,1,0.2,0.8,1,0.7,0.3,0,0.3,0.6,3
Chimezie Metu,2021,C,23,SAC,36,6,13.6,2.5,5,0.508,0.4,1,0.351,2.2,3.9,0.549,0.545,0.9,1.2,0.721,0.9,2.3,3.1,0.8,0.4,0.5,0.8,1.6,6.3
Khris Middleton,2021,SF,29,MIL,68,68,33.4,7.5,15.8,0.476,2.2,5.4,0.414,5.3,10.4,0.508,0.546,3.1,3.5,0.898,0.8,5.2,6,5.4,1.1,0.1,2.6,2.4,20.4
Darius Miller,2021,SF,30,OKC,18,0,10.9,1.2,2.7,0.458,0.9,2.3,0.405,0.3,0.3,0.833,0.635,0.7,0.7,1,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1
Patty Mills,2021,PG,32,SAS,68,1,24.8,3.7,9,0.412,2.4,6.3,0.375,1.3,2.7,0.5,0.544,1,1.1,0.91,0.3,1.4,1.7,2.4,0.6,0,1,1.2,10.8
Paul Millsap,2021,PF,35,DEN,56,36,20.8,3.4,7.2,0.476,0.9,2.6,0.343,2.5,4.6,0.55,0.537,1.3,1.8,0.724,1.4,3.3,4.7,1.8,0.9,0.6,0.9,2,9
Shake Milton,2021,SG,24,PHI,63,4,23.2,4.8,10.6,0.45,1.1,3.2,0.35,3.6,7.4,0.494,0.503,2.3,2.8,0.83,0.5,1.8,2.3,3.1,0.6,0.3,1.6,2.1,13
Donovan Mitchell,2021,PG,24,UTA,53,53,33.4,9,20.6,0.438,3.4,8.7,0.386,5.7,11.9,0.476,0.52,5,6,0.845,0.9,3.5,4.4,5.2,1,0.3,2.8,2.2,26.4
